Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
Make You Better,Decemberists,123,127,128,73,9,35,5,35,5
Lampshades on Fire,Modest Mouse,117,117,120,69,8,33,4,33,4
I Bet My Life,Imagine Dragons,118,114,117,62,7,20,2,15,2
From Eden,Hozier,122,118,116,61,7,22,2,20,2
Kansas City,New Basement Tapes,114,114,113,66,7,32,4,30,4
Budapest,George Ezra,122,118,105,53,6,,,,
Dearly Departed,Shakey Graves F/ Esme Patterson,101,103,103,52,5,21,2,14,2
Every Breaking Wave,U2,100,98,99,52,5,18,2,13,2
All the Time,Bahamas,91,94,97,54,5,25,3,18,2
Wherever is Your Heart,Brandi Carlile,89,95,95,59,7,31,4,31,4
Cigarette Daydreams,Cage the Elephant,88,86,87,44,4,16,2,,
Weight of Love,Black Keys,49,74,86,50,5,27,3,28,3
Mess is Mine,Vance Joy,59,75,80,41,4,24,3,24,3
Stay With Me,Ryan Adams,74,75,73,45,6,30,4,26,3
Shut Up + Dance,Walk the Moon,75,78,72,25,4,11,2,,
Inside Out,Spoon,55,62,70,45,5,26,3,25,3
Dangerous,Big Data F/ Joywave,69,70,69,25,2,,,,
Then Came the Morning,Lone Bellow,69,69,69,22,4,3,2,,
I Lived,OneRepublic,63,65,63,20,2,,,,
Chateau Lobby #4 (In C for Two Virgins),Father John Misty,50,57,61,33,4,17,2,19,2
Black Sun,Death Cab for Cutie,,32,59,54,6,28,3,32,4
Happy Idiot,TV on the Radio,65,60,58,18,4,,,,
Ex's & Oh's,Elle King,53,57,56,23,4,12,2,12,2
Can't Break Me Down,Billy Idol,55,58,55,18,2,,,,
Congregation,Foo Fighters,28,36,47,20,4,15,2,21,2
Rollercoaster,Bleachers,25,33,39,7,2,,,3,2
Let the Good Times Roll,JD McPherson,23,29,39,23,4,13,2,17,2
I Don't Want to Change You,Damien Rice,65,60,38,,,,,,
Simple Machine,Guster,33,35,38,9,2,,,,
Stay Gold,First Aid Kit,21,28,33,12,2,,,,
I'm Not the Only One,Sam Smith,82,75,30,24,2,,,,
Cecilia and the Satelite,Andrew McMahon in the Wilderness,18,23,28,6,2,,,,
Flaws,Bastille,46,34,26,,,,,,
I Blew It Off,Punch Brothers,11,8,26,22,4,14,2,16,2
Black is the Color,Rhiannon Giddens,4,19,20,3,2,6,2,10,2
Wonderful Things,Ryan Corn,20,17,20,,,,,,
Hypnotic,Zella Day,,8,20,,,,,,
Thinking Out Loud,Ed Sheeran,8,15,19,,,,,,
Earthquake Driver,Counting Crows,36,31,18,15,2,10,2,,
Sedona,Houndmouth,,,18,5,2,,,7,2
Coming Home,Leon Bridges,,,15,,,,,,
Flashed Junk Mind,Milky Chance,7,11,14,,,,,,
Gooey,Glass Animals,2,10,13,,,,,,
Headphones,Matt Nathanson F/ LOLO,11,7,11,,,,,,
She Wants,Sunset Sons,17,13,10,,,,,,
Spring to Come,John Butler Trio,,5,10,8,2,7,2,5,2
Beryl,Mark Knopfler,,,9,15,4,4,2,8,2
Radio,Ryan Bignham,,7,8,7,2,9,2,6,2
Work it Out,Knox Hamilton,46,6,7,,,,,,
Hold Back the River,James Bay,,,7,,,,,,
Above the Clouds of Pompeii,Bear's Den,,3,6,,,,,,
Blame it on Me,George Ezra,,,5,,,,,,
Half the City,St. Paul & the Broken Bones,,2,4,,,,,,
Every Minute,JJ Grey & Mofro,,,4,12,2,19,2,22,2
Kathleen,Catfish & the Bottlemen,,,3,,,,,,
She's the One,Ray Lamontagne,23,14,2,,,,,,
Let it Go,James Bay,58,41,,,,,,,
King and Cross,Asgeir,33,22,,,,,,,
Gold,Chet Faker,15,19,,,,,,,
Salt,Bad Suns,6,6,,,,,,,
The Money,Charlie Mars,10,5,,,,,,,
Don't Wanna Fight,Alabama Shakes,,,,,,,,27,3
Every Other Freckle,alt-J,,,,,,,,4,2
It's a Longer Road to California,The Wind + The Wave,,,,,,8,2,9,2
You're the Best Lover That I Ever Had,Steve Earle & the Dukes,,,,5,2,5,2,11,2
