Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
Cigarette Daydreams,Cage the Elephant,150,150,145,90,9,31,2,,
R U Mine?,Arctic Monkeys,142,142,140,84,7,28,2,,
I Bet My Life,Imagine Dragons,141,141,140,92,9,43,4,41,4
Shut Up + Dance,Walk the Moon,132,136,138,84,7,36,3,29,2
Figure It Out,Royal Blood,121,125,128,80,7,,,,
Rollercoaster,Bleachers,125,124,126,77,6,35,3,34,3
Lampshades on Fire,Modest Mouse,119,122,126,85,7,42,4,43,4
Long Way Down,Robert DeLong,110,116,121,79,6,45,5,45,5
Something From Nothing,Foo Fighters,131,130,118,64,5,21,2,7,2
Budapest,George Ezra,102,102,102,64,4,23,2,31,2
Kathleen,Catfish and the Bottlemen,98,98,99,58,4,29,2,28,2
Mess is Mine,Vance Joy,91,98,98,65,5,41,4,36,3
Stolen Dance,Milky Chance,93,91,92,42,3,,,,
Every Other Freckle,alt-J,91,94,91,63,5,38,3,35,3
Weight of Love,Black Keys,79,87,87,55,4,37,3,37,3
Take Me to Church,Hozier,89,88,86,41,3,,,,
Tragedy + Time,Rise Against,91,84,86,55,5,32,2,32,2
Cecilia and the Satellite,Andrew McMahon in the Wilderness,86,91,84,47,4,22,2,19,2
Gooey,Glass Animals,76,87,83,51,4,27,2,27,2
Hollow Moon (Bad Wolf),AWOLNATION,,32,77,56,4,34,3,40,4
Beggin for Thread,Banks,105,76,76,35,2,,,,
Flashed Junk Mink,Milky Chance,60,68,72,46,4,30,2,30,2
Black Sun,Death Cab for Cutie,,35,71,62,4,40,4,42,4
Somebody New,Joywave,43,58,66,42,4,20,2,23,2
Sound of Change,Dirty Heads,65,65,61,20,2,,,17,2
Get It,Matt and Kim,17,39,60,36,4,26,2,24,2
Same Damn Life,Seether,44,44,56,23,4,7,2,,
Happy Idiot,TV on the Radio,56,54,55,16,4,,,,
Till It's Gone,YelaWolf,64,70,54,26,4,,,3,2
Karaoke,Smallpools,16,42,52,33,4,25,2,21,2
Bad Habit,Kooks,52,46,48,22,2,,,,
Riptide,Vance Joy,40,37,37,37,2,,,,
Every Breaking Wave,U2,49,39,36,12,2,,,,
Dangerous,Big Data F/ Joywave,39,36,36,34,2,,,,
My Type,Saint Motel,7,17,35,18,2,6,2,6,2
Gold,Chet Faker,32,27,34,22,4,,,22,2
Yellow Flicker Beat,Lorde,61,42,33,14,2,,,,
The Righteous One,Orwells,35,31,26,22,2,4,2,,
Reflections,Misterwives,53,54,25,8,2,,,,
Da Vinci,Weezer,45,42,24,,,,,,
I Am Machine,Three Days Grace,35,38,23,16,2,14,2,,
Coming for You,Offspring,,,23,17,2,19,2,25,2
I Want to Know,KONGOS,,10,22,9,2,,,,
Contagious,Night Riots,8,15,20,11,2,8,2,10,2
The Only Way Out,Bush,58,52,19,,,,,,
The Feast and the Famine,Foo Fighters,12,15,18,13,2,16,2,,
Everywhere I Go (Kings and Queens),New Politics,78,58,17,,,,,,
Don't You Find,Jamie T,20,21,17,17,2,,,,
Apocalyptic,Halestorm,,9,16,21,2,24,2,20,2
Face Everything and Rise,Papa Roach,10,13,15,14,2,12,2,16,2
Everything is Wrong,Interpol,4,6,14,6,1,,,,
Uma Thurman,Fall Out Boy,,3,14,4,1,,,,
Absolution Calling,Incubus,,,14,,,17,2,26,2
Congregation,Foo Fighters,,,11,5,1,13,2,38,3
Moving On,Asking Alexandria,,3,10,12,2,11,2,,
From Eden,Hozier,2,8,9,15,2,15,2,14,2
Geronimo,Sheppard,16,11,8,3,1,,,,
Follow Me Down,Pretty Reckless,7,,8,6,2,10,2,15,2
Deep Six,Marilyn Manson,,,7,4,2,5,2,12,2
Crystallized,Young the Giant,26,21,6,,,,,4,2
Stars,Sixx A.M.,,5,5,7,2,3,2,9,2
Hollow Tune,Brick + Mortar,3,,4,,,,,,
Final Masquerade,Linkin Park,45,33,3,,,,,,
Sick Like Me,In This Moment,,,3,,,,,,
Kansas City,New Basement Tapes,,,3,,,,,,
Centuries,Fall Out Boy,74,33,,,,,,,
Wrong,Airbourne Toxic Event,26,15,,,,,,,
Black Soap,Ex Cops,15,4,,,,,,,
If You Wanna Stay,Griswolds,5,,,,,18,2,18,2
First,Cold War Kids,,,,,,,,8,2
I'm Good,Mowgli's,,,,,,,,13,2
Not on Drugs,Tove Lo,,,,10,2,9,2,,
Peaches,In the Valley Below,,,,2,1,,,,
The Business of Emotion,Big Data,,,,,,,,11,2
This Probably Won't End Well,All That Remains,,,,,,,,5,2
