Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
I See You,Luke Bryan,186,188,195,140,10,65,4,56,2
Sun Daze,Florida Georgia Line,181,184,188,136,8,67,4,57,2
Make Me Wanna,Thomas Rhett,172,179,185,133,8,68,4,67,4
Talladega,Eric Church,193,193,180,62,3,,,,
Lonely Tonight,Blake Shelton F/ Ashley Monroe,166,172,180,133,8,70,5,70,5
Like a Cowboy,Randy Houser,171,174,177,128,7,62,3,63,3
Just Gettin' Started,Jason Aldean,162,165,173,128,7,66,4,68,4
Mean to Me,Brett Eldridge,158,164,166,123,6,63,3,66,4
Something in the Water,Carrie Underwood,187,182,161,103,4,,,,
Take It On Back,Chase Bryant,154,157,159,117,5,57,2,59,3
Lonely Eyes,Chris Young,144,150,157,117,5,60,3,65,4
Homegrown Honey,Darius Rucker,153,154,155,118,6,59,3,62,3
Drinking Class,Lee Brice,148,150,154,117,5,61,3,61,3
Ain't Worth the Whiskey,Cole Swindell,136,141,144,109,4,54,2,54,2
Freestyle,Lady Antebellum,136,140,141,105,4,55,2,49,2
What We Ain't Got,Jake Owen,133,135,140,105,4,,,,
Say You Do,Dierks Bentley,130,136,139,107,4,56,2,60,3
Homegrown,Zac Brown Band,103,119,136,106,4,53,2,55,2
A Guy Walks Into a Bar,Tyler Farr,123,127,130,99,4,51,2,52,2
Take Your Time,Sam Hunt,112,122,130,98,4,52,2,53,2
Trailer Hitch,Kristian Bush,121,121,121,90,4,45,2,,
She Don't Love You,Eric Pasley,112,116,119,92,4,48,2,47,2
Little Red Wagon,Miranda Lambert,93,111,117,91,4,50,2,51,2
Smoke,A Thousand Horses,93,105,116,90,4,47,2,48,2
Baby Be My Love Song,Easton Corbin,110,111,115,87,4,46,2,46,2
Don't It,Billy Currington,99,101,109,84,4,43,2,44,2
Drunk Americans,Toby Keith,110,108,107,80,4,41,2,,
Raise 'Em Up,Keith Urban F/ Eric Church,36,73,103,89,4,49,2,50,2
Lay Low,Josh Turner,95,95,97,77,4,40,2,39,2
Hard to Be Cool,Joe Nichols,91,92,96,76,4,36,2,38,2
Love Me Like You Mean It,Kalsea Ballerini,88,94,94,73,4,39,2,40,2
Girl Crush,Little Big Town,84,90,88,71,4,42,2,41,2
Diamond Rings and Old Barstools,Tim McGraw W/ Catherine Dunn,10,38,84,75,4,44,2,45,2
Love You Like That,Caanan Smith,80,78,82,63,4,32,2,32,2
Riot,Rascal Flatts,70,76,82,65,4,33,2,34,2
Trouble,Gloriana,78,73,81,62,3,28,2,29,2
Going Out Like That,Reba,51,56,68,60,4,34,2,35,2
Better Than You Left Me,Mickey Guyton,43,54,68,53,3,35,2,36,2
When I've Been Drinkin',Jon Pardi,67,67,67,49,2,18,1,,
Hell of a Night,Dustin Lynch,57,59,63,49,2,25,1,28,2
One Hell of an Amen,Brantley Gilbert,58,58,60,53,3,30,2,31,2
This Kind of Town,Justin Moore,60,58,59,51,3,31,2,,
Crushin' It,Brad Paisley,9,28,56,65,4,37,2,42,2
Til It's Gone,Kenny Chesney,186,165,55,,,,,,
Young & Crazy,Frankie Ballard,50,57,55,46,2,24,1,30,2
Wild Child,Kenny Chesney W/ Grace Potter,,21,49,65,4,38,2,43,2
Pray for You,Swon Brothers,58,52,48,43,2,,,,
I'm to Blame,Kip Moore,6,17,39,47,3,29,2,33,2
Fly,Maddie & Tae,13,27,36,39,2,23,1,26,1
Gonna Wanna Tonight,Chase Rice,29,33,35,36,2,20,1,23,1
God Made Girls,RaeLynn,87,138,31,,,,,,
Steal Me Away,Olivia Lane,33,34,30,,,,,,
All Country on You,Austin Webb,27,27,30,34,2,22,1,25,1
Eat Sleep Love You Repeat,Rodney Adkins,22,19,26,26,2,9,1,10,1
Country,Mo Pitney,4,6,21,23,2,16,1,18,1
Run Away With You,Big & Rich,8,12,19,28,2,13,1,17,1
That Look,Aaron Watson,21,18,18,19,1,21,1,24,1
Never Really Left,Brian Collins,15,15,16,17,1,19,1,22,1
She Does,Jackie Lee,15,18,15,,,,,,
Mom,Garth Brooks,86,86,14,,,,,,
King of This Town,Ricky Gunn,9,9,14,15,1,17,1,21,1
Save Your Breath,Josh Dorr,10,15,13,13,1,6,1,5,1
My Baby's Got a Smile on Her Face,Craig Wayne Boyd,3,5,13,14,2,12,1,15,1
Time Has Wings,Chris Weaver Band,8,7,12,12,1,15,1,16,1
Sippin' on Fire,Florida Georgia Line,,5,12,11,1,,,20,1
Raised by a Good Time,Steven Lee Olsen,9,7,9,,,,,,
Fires Out,Rick Monroe,2,2,9,9,1,11,1,13,1
My Old Man,Frank Ortega,3,3,8,7,1,10,1,14,1
Already Callin' You Mine,Parmalee,,,8,17,2,14,1,19,1
Break Up With Him,Old Dominion,,,8,8,1,,,,
Just Another Love Song,Haley & Michaels,5,8,7,7,1,,,6,1
Middle of America,Will Hoge,17,,6,6,1,,,4,1
Lay It on Me,Dylan Scott,11,12,4,,,,,,
(When You Love a) Wild Thing,Brooklhyn Woods,,,4,4,1,8,1,11,1
Little Toy Guns,Carrie Underwood,,,3,29,2,26,1,37,2
He's Messed Up,Jo Dee Messina,,,2,2,1,7,1,9,1
Send It On Down,Lee Ann Womack,,,2,,,,,,
Gentle on My Mind,The Band Perry,84,34,,,,,,,
Kiss You Tonight,David Nail,85,29,,,,,,,
Beautiful Work,Shane Gamble,14,14,,,,,,,
House Party,Sam Hunt,11,9,,9,1,,,,
Kiss You in the Morning,Michael Ray,,6,,,,,,,
Hangin' Around,Josh Abbott Band,13,4,,,,,,,
Lookin' for a Cowgirl,Kristy Lee Cook,,3,,4,1,,,,
Can't Get Away From a Good Time,Logan Mize,4,,,2,1,,,,
It's Comin' Down,Erica Nicole,,,,,,3,1,8,1
Cowboy Girl,Jason Cassidy,,,,,,4,1,7,1
Hangover Tonight,Gary Allan,,,,,,,,2,1
Hit the Road,Waterloo Revival,,,,,,,,3,1
I Love This Life,LoCash Cowboys,,,,3,1,,,,
I Think of You,Rachel Holder,,,,,,2,1,,
Like a Wrecking Ball,Eric Church,,,,,,,,12,1
My Mistake,Cam,,,,5,1,,,,
Whole Lotta Nothin',Rachele Lynae,,,,3,1,5,1,,
