Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,7-Mar
Uptown Funk!,Mark Ronson F/ Bruno Mars,467,484,497,140,90,45
Take Me to Church,Hozier,439,455,464,131,83,41
Blank Space,Taylor Swift,476,461,452,125,74,35
Thinking Out Loud,Ed Sheeran,409,430,451,134,86,43
I'm Not the Only One,Sam Smith,454,447,430,116,64,30
Lips are Movin',Meghan Trainor,403,409,429,128,83,42
Jealous,Nick Jonas,440,436,420,116,66,
Love Me Harder,Ariana Grande F/ The Weeknd,415,394,368,90,48,20
Time of Our Lives,Pitbull & Ne-Yo,280,322,368,114,76,38
The Heart Wants What It Wants,Selena Gomez,382,380,349,82,42,21
Prayer in C,Lillywood & Robin Schulz,263,312,342,112,73,36
Centuries,Fall Out Boy,319,329,331,97,62,31
Sugar,Maroon 5,189,274,331,98,69,37
Ghost,Ella Henderson,304,320,328,99,62,32
Style,Taylor Swift,181,259,321,105,77,40
Animals,Maroon 5,370,334,297,72,23,
I Don't Mind,Usher F/ Juicy J,249,271,285,62,42,27
Stuck on a Feeling,Prince Royce F/ Snoop Dogg,217,233,258,86,47,22
I Lived,OneRepublic,253,247,252,77,38,18
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,11,118,252,84,61,34
Love Me Like You Do,Ellie Goulding,138,205,234,73,53,28
The Hanging Tree,James Newton Howard F/ Jennifer Lawrence,346,320,231,34,8,
She Knows,Ne-Yo F/ Juicy J,126,173,225,52,37,19
Riptide,Vance Joy,201,202,206,44,28,16
Night Changes,One Direction,203,205,198,67,46,26
Outside,Calvin Harris F/ Ellie Goulding,162,172,198,81,56,29
Heroes (We Could Be),Alesso F/ Tove Lo,297,278,193,38,,
Heartbeat Song,Kelly Clarkson,131,135,176,59,42,25
Waves,Mr. Probz,270,197,173,26,25,
Shake It Off,Taylor Swift,206,189,172,10,,
Sledgehammer,Fifth Harmony,198,192,171,36,15,8
Tuesday,I LOVE MAKONNEN F/ Drake,248,215,170,29,9,5
I Don't F**k With You,Big Sean F/ E-40,217,194,165,9,,
Habits (Stay High),Tove Lo,182,164,139,20,19,
All About the Bass,Meghan Trainor,168,146,136,3,,
Only,"Nicki Minaj F/ Drake, Lil Wayne & Chris Brown",125,134,135,,,
7/11 .,Beyoncé,121,127,133,,,
Stay With Me,Sam Smith,133,132,132,,,
Truffle Butter,Nicki Minaj F/ Drake & Lil Wayne,22,60,124,12,8,4
I Bet My Life,Imagine Dragons,81,95,119,16,12,11
I See You,Luke Bryan,107,113,116,,,
Don't,Ed Sheeran,145,126,115,12,11,
Talladega,Eric Church,110,113,103,,,
G.D.F.R.,Flo Rida F/ Sage The Gemini & Lookas,82,86,102,10,7,13
Sun Daze,Florida Georgia Line,97,105,100,,,
CoCo,O.T. Genasis,90,93,99,,,
No Type,Rae Sremmurd,104,100,94,,,
Somebody,Natalie La Rose F/ Jeremih,37,51,94,44,33,23
All About It,Hoodie Allen F/ Ed Sheeran,127,107,93,24,4,
Lonely Tonight,Blake Shelton F/ Ashley Monroe,75,90,93,,,
Make Me Wanna,Thomas Rhett,75,89,91,,,
"Bang, Bang","Jessie J, Ariana Grande & Nicki Minaj",115,100,89,8,7,
Rude,MAGIC!,80,73,80,,,
Earned It (Fifty Shades of Grey),The Weeknd,36,83,78,,,
Like a Cowboy,Randy Houser,60,73,77,,,
Chains,Nick Jonas,27,48,76,48,34,24
Something in the Water,Carrie Underwood,113,113,75,,,
Just Gettin' Started,Jason Aldean,63,71,74,,,
Chandelier,Sia,76,76,70,,,
Elastic Heart,Sia,75,73,69,,,
Shut Up + Dance,Walk the Moon,53,64,68,,,
Can't Stop Dancin',Becky G,47,58,67,23,6,
Mean to Me,Brett Eldridge,47,58,64,,,
Ayo,Chris Brown & Tyga,42,51,60,,,
Try Me,DeJ Loaf,71,64,59,,,
Take Your Time,Sam Hunt,37,55,59,,,
Blame,Calvin Harris F/ John Newman,275,173,58,14,13,
Talking Body,Tove Lo,21,37,58,25,20,14
Drinking Class,Lee Brice,47,51,57,,,
Only One,Kanye West F/ Paul McCartney,31,16,56,3,,
Apparently,J. Cole,35,48,55,,,
Feeling Myself,Nicki Minaj F/ Beyonce',49,53,53,,,
Budapest,George Ezra,31,30,49,,,
Lonely Eyes,Chris Young,29,38,47,,,
Throw Sum Mo,Rae Sremmurd F/ Nicki Minaj & Young Thug,23,37,44,,,
Ain't Worth the Whiskey,Cole Swindell,25,31,43,,,
Homegrown Honey,Darius Rucker,32,34,42,,,
Take It On Back,Chase Bryant,28,34,41,,,
Often,The Weeknd,42,50,39,,,
Geronimo,Sheppard,31,31,39,,,
What I Like About You,5 Seconds of Summer,73,62,37,,,
Beg For It,Iggy Azalea F/ MO,126,75,35,,,
Homegrown,Zac Brown Band,60,27,35,,,
Masterpiece,Jessie J,14,25,35,25,19,15
Trap Queen,Fetty Wap,,19,35,,,
Cigarette Daydreams,Cage the Elephant,31,32,32,,,
Weekend,Priory,26,30,31,8,3,
The Body,Wale F/ Jeremih,18,27,29,,,
Shotgun Rider,Tim McGraw,59,40,28,,,
Something From Nothing,Foo Fighters,35,34,27,,,
God Made Girls,RaeLynn,30,33,26,,,
Shots,Imagine Dragons,,,26,,,
Figure It Out,Royal Blood,28,26,25,,,
Same Damn Life,Seether,23,23,25,,,
Til It's Gone,Kenny Chesney,94,64,24,,,
I Am Machine,Three Days Grace,22,24,24,,,
R U Mine?,Arctic Monkeys,19,21,24,,,
Post to Be,Omarion F/ Chris Brown & Jhene Aiko,12,14,24,,,
Lampshades on Fire,Modest Mouse,23,23,23,,,
Weight of Love,Black Keys,19,20,23,,,
Say You Do,Dierks Bentley,12,18,23,,,
Every Breaking Wave,U2,25,23,22,,,
Stolen Dance,Milky Chance,72,32,21,,,
Not For Long,B.o.B. F/ Trey Songz,23,27,21,,,
Let Me Know,Tamar Braxton F/ Future,18,20,21,,,
Dangerous,Big Data F/ Joywave,22,21,20,,,
Face Everything and Rise,Papa Roach,16,18,19,,,
What We Ain't Got,Jake Owen,14,16,19,,,
L.A. Love (la la),Fergie,36,23,18,,,
Wrong Side of Heaven,Five Finger Death Punch,20,18,18,,,
Rollercoaster,Bleachers,15,17,18,,,
Follow Me Down,Pretty Reckless,17,15,18,,,
A Guy Walks into a Bar,Tyler Farr,9,10,17,,,
Body Language,Kid Ink F/ Usher & Tinashe,28,31,16,,,
From Eden,Hozier,14,16,16,,,
Nobody,Kem,15,15,16,,,
Make You Better,Decemberists,14,15,16,,,
Moving On,Asking Alexandria,12,15,16,,,
Congregation,Foo Fighters,7,11,16,,,
Call My Name,Avery*Sunshine,16,16,15,,,
Maps,Maroon 5,16,16,15,,,
Mess is Mine,Vance Joy,14,14,15,,,
First Kiss,Kid Rock,10,14,15,,,
Apocalyptic,Halestorm,10,14,15,,,
Dangerous,David Guetta F/ Sam Martin,26,10,15,,,
"Touchin', Lovin'",Trey Songz F/ Nicki Minaj,65,20,14,,,
Vegas Party,Manika,15,15,14,4,,
Stars,Sixx A.M.,10,14,14,,,
Bartender,Lady Antebellum,14,12,14,,,
The Words,Christina Perri,6,7,14,,,
Tragedy + Time,Rise Against,17,18,13,,,
Try,Colbie Caillat,22,16,13,,,
Am I Wrong,Nico & Vinz,13,13,13,,,
Happy Idiot,TV on the Radio,13,13,13,,,
Hollow Moon (Bad Wolf),AWOLNATION,,4,13,,,
New Flame,Chris Brown F/ Usher & Rick Ross,20,15,12,,,
What's Best for You,Trey Songz,12,12,12,,,
Cecilia and the Satellite,Andrew McMahon in the Wilderness,10,12,12,,,
Kansas City,New Basement Tapes,11,11,12,,,
Good Lovin',Ludacris F/ Miguel,11,11,12,,,
Deep Six,Marylin Manson,8,9,12,,,
I Bet,Ciara,,2,12,,,
Behind Closed Doors,Johnny Gill,12,12,11,,,
If You Lose Her,Joe,11,11,11,,,
Can't Trust Thots,Wash F/ French Montana,10,11,11,,,
Really Love,D'Angelo & the Vanguard,10,11,11,,,
Long Way Down,Robert DeLong,9,10,11,,,
How About Now,Drake,9,9,11,,,
Bright,Echosmith,,,11,6,,3
Hold You Down,"DJ Khaled F/ Chris Brown, August Alsina, Future, & Jeremih",50,14,10,,,
Something Different,Godsmack,13,12,10,,,
This Love,Viennie V,11,12,10,,,
Mr. MTV,Nothing More,9,11,10,,,
Latch,Disclosure F/ Sam Smith,12,10,10,,,
Afterlife,Ingrid Michaelson,11,10,10,,,
Cool Kids,Echosmith,10,10,10,,,
Million Miles an Hour,Nickelback,10,10,10,,,
Rock or Bust,AC/DC,10,10,10,,,
Gooey,Glass Animals,9,9,10,,,
Goodnight Kisses,Charlie Wilson,8,9,10,,,
Black Sun,Death Cab for Cutie,,4,10,,,
Black Widow,Iggy Azalea F/ Rita Ora,79,68,9,5,4,
Perfect Storm,Brad Paisley,62,24,9,,,
Whole Damn Year,Mary J. Blige,13,11,9,,,
Forever Don't Last,Jazmine Sullivan,7,10,9,,,
Sick Like Me,In This Moment,10,9,9,,,
Dearly Departed,Shakey Graves F/ Esme Patterson,9,9,9,,,
Kathleen,Catfish and the Bottlemen,8,8,9,,,
Queen,Raheem DeVaughn,8,7,9,,,
Surrender,Cash Cash,5,7,9,4,,
Don't Tell 'Em,Jeremih F/ YG,109,86,8,7,6,
Till It's Gone,YelaWolf,7,9,8,,,
About the Money,T.I. F/ Young Thug,9,8,8,,,
All the Time,Bahamas,9,8,8,,,
Bent to Fly,Slash F/ Miles Kennedy & the Conspirators,8,8,8,,,
Carnivore,Starset,8,8,8,,,
Love 'Em All,K. Michelle,8,8,8,,,
Every Other Freckle,alt-J,8,8,8,,,
Mind Right,TK-N-Cash,8,8,8,,,
Stay With Me,Ryan Adams,7,8,8,,,
Wherever is Your Heart,Brandi Carlile,7,8,8,,,
Heartbeat,Mat Kearney,6,8,8,,,
This Probably Won't End Well,All That Remains,6,8,8,,,
Don't Kill the Fun,Sevyn Streeter F/ Chris Brown,6,8,8,,,
Flashed Junk Mind,Milky Chance,7,7,8,,,
Tear Me Down,Stash,,7,8,8,13,9
Wrapped Up,Olly Murs F/ Travie McCoy,,,8,2,,
Hell of a Night,ScHoolboy Q,9,8,7,,,
Wish You Hell,Like a Storm,7,8,7,,,
Right Back,"DJ Drama F/ Jeezy, Young Thug & Rich Homie Quan",7,7,7,,,
Sound of Change,Dirty Heads,7,7,7,,,
Drown,Bring Me the Horizon,8,6,7,,,
Somebody New,Joywave,4,6,7,,,
All Bad Things,Motley Crue,,6,7,,,
Hotel,Kid Ink F/ Chris Brown,1,3,7,,,
Preach,Young Dolph,,,7,,,
Boom Clap,Charli XCX,10,10,6,,,
Gold,Chet Faker,8,8,6,,,
Glory,Common & John Legend,15,7,6,,,
An Island,Chevelle,7,7,6,,,
G' S**t,T.I. F/ Jeezy & WatchTheDuck,7,7,6,,,
Rather Be,Clean Bandit F/ Jess Glynne,13,6,6,,,
Beggin' for Thread,Banks,8,6,6,,,
Yellow Flicker Beat,Lorde,8,6,6,,,
Baby Be My Love Song,Easton Corbin,6,6,6,,,
Don't It,Billy Currington,6,6,6,,,
Drunk Americans,Toby Keith,6,6,6,,,
Feels Like Forever,Of Mice and Men,6,6,6,,,
For Life,3 Years Hollow F/ Clint Lowery,6,6,6,,,
Freestyle,Lady Antebellum,6,6,6,,,
Girl Crush,Little Big Town,6,6,6,,,
Hard to Be Cool,Joe Nichols,6,6,6,,,
I Deserve It,Faith Evans F/ Missy Elliott & Sharaya J,6,6,6,,,
I Don't Want to Change You,Damien Rice,6,6,6,,,
Inside Out,Spoon,6,6,6,,,
Lay Low,Josh Turner,6,6,6,,,
Love Me Like You Mean It,Kalsea Ballerini,6,6,6,,,
Reincarnate,Motionless in White,6,6,6,,,
She Don't Love You,Eric Pasley,6,6,6,,,
Stronger,Tank,6,6,6,,,
Then Came the Morning,Lone Bellow,6,6,6,,,
Trailer Hitch,Kristian Bush,6,6,6,,,
Little Red Wagon,Miranda Lambert,6,6,6,,,
Ex's & Oh's,Elle King,6,6,6,,,
