Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
Uptown Funk!,Mark Ronson F/ Bruno Mars,130,140,147,95,10,45,5,45,5
I Don't Mind,Usher F/ Juicy J,146,150,146,91,8,43,4,43,4
She Knows,Ne-Yo F/ Juicy J,135,139,140,89,8,42,4,42,4
Love Me Harder,Ariana Grande & The Weeknd,148,142,134,83,7,38,3,34,3
Time of Our Lives,Pitbull & Ne-Yo,116,122,129,84,7,41,4,41,4
Jealous,Nick Jonas,113,124,128,66,6,22,2,24,2
7/11 .,Beyoncé,111,121,127,81,7,40,4,38,3
Only,"Nicki Minaj F/ Drake, Lil Wayne & Chris Brown",113,124,125,79,6,35,3,31,2
I Don't F**k With You,Big Sean F/ E-40,138,127,122,70,5,32,2,28,2
Tuesday,I LOVE MAKONNEN F/ Drake,137,129,118,64,4,30,2,27,2
Ayo,Chris Brown & Tyga,58,87,106,72,5,37,3,40,4
I'm Not the Only One,Sam Smith,112,105,104,61,4,26,2,20,2
Not For Long,B.o.B. F/ Trey Songz,85,100,104,64,4,27,2,32,2
Stuck on a Feeling,Prince Royce F/ Snoop Dogg,83,93,103,69,5,28,2,26,2
Truffle Butter,Nicki Minaj F/ Drake & Lil Wayne,56,75,97,71,5,36,3,37,3
About the Money,T.I. F/ Young Thug,112,107,94,51,4,16,2,13,2
Somebody,Natalie La Rose F/ Jeremih,53,65,87,66,5,34,3,36,3
Apparently,J. Cole,72,76,86,50,4,24,2,29,2
Body Language,Kid Ink F/ Usher & Tinashe,111,98,81,43,4,17,2,18,2
Thinking Out Loud,Ed Sheeran,54,62,81,60,4,31,2,30,2
Try Me,DeJ Loaf,99,97,78,33,4,15,2,,
Blank Space,Taylor Swift,93,86,78,39,4,10,2,,
G.D.F.R.,Flo Rida F/ Sage the Gemini & Lookas,58,61,75,51,4,23,2,15,2
No Type,Rae Sremmurd,78,73,70,36,4,19,2,7,2
Beg for It,Iggy Azalea F/ MO,107,80,65,27,4,12,2,,
Prayer in C,Lillywood & Robin Schulz,43,60,60,46,4,21,2,23,2
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,,25,56,51,4,29,2,35,3
CoCo,O.T. Genasis,46,47,51,26,4,9,2,11,2
Waves,Mr. Probz,81,67,50,24,4,,,,
Only One,Kanye West F/ Paul McCartney,31,40,49,23,2,,,,
Lips Are Movin',Meghan Trainor,39,41,48,38,4,25,2,19,2
Earned It (Fifty Shades of Grey),The Weeknd,8,22,48,34,4,14,2,22,2
The Heart Wants What it Wants,Selena Gomez,58,50,39,,,,,,
Good Lovin',Ludacris F/ Miguel,24,26,34,8,2,,,,
Can't Trust Thots,Wash F/ French Montana,30,31,31,10,2,,,,
Sober,Childish Gambino,20,23,30,9,2,,,,
Touchin' Lovin',Trey Songz F/ Nicki Minaj,70,64,29,,,,,,
Hotel,Kid Ink F/ Chris Brown,6,14,29,19,2,,,8,2
Heroes (We Could Be),Alesso F/ Tove Lo,43,45,28,,,,,,
Style,Taylor Swift,5,14,28,36,4,20,2,25,2
The Body,Wale F/ Jeremih,33,32,27,11,2,11,2,10,2
Hold You Down,"DJ Khaled F/ Chris Brown, August Alsina, Future, & Jeremih",66,61,25,20,4,7,2,4,2
Sugar,Maroon 5,,8,23,31,4,18,2,21,2
Take Me to Church,Hozier,30,26,22,8,2,8,2,3,2
Trampoline,Kalin and Myles,,10,21,13,2,,,5,2
Open Wide,Calvin Harris F/ Big Sean,,5,16,6,1,,,,
The Hanging Tree,James Newton Howard F/ Jennifer Lawrence,17,15,11,,,,,,
How About Now,Drake,9,7,10,,,,,,
Backflip,Casey Veggies F/ YG & iAMSU!,5,6,9,5,1,,,,
Habits (Stay High),Tove Lo,49,32,8,,,,,,
I Bet,Ciara,,,7,,,,,,
Talking Body,Tove Lo,,6,5,6,2,5,2,12,2
Feeling Myself,Nicki Minaj F/ Beyonce',,4,5,,,,,,
Throw Sum Mo,Rae Sremmurd F/ Nicki Minaj & Young Thug,,,4,,,,,9,2
Buried Alive,Logic,,2,3,2,1,,,,
Blessings,Big Sean F/ Drake & Kanye West,,,2,3,1,,,,
Often,The Weeknd,43,30,,,,,,,
All About It,Hoodie Allen F/ Ed Sheeran,31,11,,,,,,,
Animals,Maroon 5,13,10,,,,,,,
Blame,Calvin Harris F/ John Newman,39,8,,,,,,,
You and Your Friends,Wiz Khalifa F/ Snoop Dogg & Ty Dolla $ign,16,5,,,,,,,
Outside,Calvin Harris F/ Ellie Goulding,4,3,,18,3,13,2,14,2
Centuries,Fall Out Boy,,,,,,3,2,6,2
Love Me Like You Do,Ellie Goulding,,,,7,2,6,2,16,2
One Last Time,Ariana Grande,,,,3,2,4,2,17,2
