Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
I Am Machine,Three Days Grace,233,240,243,92,9,43,4,41,4
Something From Nothing,Foo Fighters,247,253,238,77,6,31,2,28,2
Same Damn Life,Seether,220,225,232,93,9,41,4,40,4
Wrong Side of Heaven,Five Finger Death Punch,237,233,228,85,7,37,3,34,3
Figure it Out,Royal Blood,234,223,213,70,5,,,,
Face Everything and Rise,Papa Roach,197,201,212,89,8,45,5,45,5
Follow Me Down,Pretty Reckless,190,195,200,84,7,42,4,42,4
Moving On,Asking Alexandria,183,191,193,79,6,38,3,36,3
Apocalyptic,Halestorm,137,171,187,85,8,40,4,43,4
Stars,Sixx A.M.,151,166,174,68,5,32,2,31,2
Million Miles an Hour,Nickelback,163,165,168,66,4,29,2,30,2
Rock or Bust,AC/DC,159,169,167,70,5,36,3,37,3
R U Mine?,Arctic Monkeys,104,126,161,50,4,18,2,15,2
Something Different,Godsmack,196,180,159,56,4,,,,
Mr. MTV,Nothing More,150,159,156,68,5,28,2,,
Deep Six,Marilyn Manson,125,132,148,69,4,35,3,35,3
First Kiss,Kid Rock,80,104,118,42,4,22,2,22,2
This Probably Won't End Well,All That Remains,68,105,117,59,4,30,2,32,2
Bent to Fly,Slash F/ Myles Kennedy & the Conspirators,109,117,116,52,4,25,2,26,2
Carnivore,Starset,113,103,112,55,4,26,2,25,2
Cigarette Daydreams,Cage the Elephant,87,108,111,20,2,,,,
Weight of Love,Black Keys,84,103,107,35,4,14,2,16,2
Congregation,Foo Fighters,22,56,104,55,4,34,3,38,3
Drown,Bring Me the Horizon,91,76,88,48,4,23,2,24,2
Sick Like Me,In This Moment,140,131,84,,,,,,
Hollow Moon (Bad Wolf),AWOLNATION,,9,79,16,2,,,,
All Bad Things,Motley Crue,42,58,78,33,4,20,2,19,2
Wish You Hell,Like a Storm,71,80,73,45,4,27,2,27,2
I Want Out,Young Guns,87,66,69,32,2,,,,
New Wave,Islander,35,53,65,41,4,21,2,20,2
An Island,Chevelle,86,80,61,21,4,,,,
Reincarnate,Motionless in White,57,59,61,29,4,8,2,9,2
Feels Like Forever,Of Mice and Men,60,63,60,32,4,15,2,7,2
Stolen Dance,Milky Chance,53,53,53,,,,,,
Tragedy + Time,Rise Against,95,83,52,4,2,,,,
Shut Up + Dance,Walk the Moon,45,45,51,,,,,,
Riptide,Vance Joy,50,50,48,,,,,,
