Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
Nobody,Kem,125,125,128,75,10,35,5,35,5
Call My Name,Avery*Sunshine,128,128,126,70,8,33,4,33,4
Stay With Me,Sam Smith,122,120,119,65,7,30,4,32,4
What's Best for You,Trey Songz,118,119,118,67,8,31,4,30,4
Let Me Know,Tamar Braxton F/ Future,110,113,117,68,8,32,4,28,3
Really Love,D'Angelo & the Vanguard,93,104,108,63,7,28,3,31,4
Behind Closed Doors,Johnny Gill,111,111,104,57,6,26,3,26,3
If You Lose Her,Joe,102,101,101,56,6,25,3,24,3
Goodnight Kisses,Charlie Wilson,89,95,100,58,6,27,3,27,3
Forever Don't Last,Jazmine Sullivan,87,89,91,48,4,21,2,20,2
Queen,Raheem DeVaughn,83,85,90,50,5,22,2,22,2
I'm Not the Only One,Sam Smith,59,78,83,44,4,20,2,21,2
Whole Damn Year,Mary J. Blige,100,88,81,43,4,19,2,19,2
Uptown Funk!,Mark Ronson F/ Bruno Mars,38,59,79,51,5,24,3,25,3
Latch,Disclosure F/ Sam Smith,79,86,78,37,4,11,2,16,2
Stronger,Tank,70,69,74,34,4,10,2,10,2
Glory,Common & John Legend,54,73,71,40,4,18,2,17,2
Conqueror,Estelle,52,62,60,28,4,7,2,8,2
Ain't My Fault,Jamie Foxx,55,61,60,23,4,8,2,11,2
New Flame,Chris Brown F/ Usher & Rick Ross,57,57,57,28,4,12,2,13,2
Shook Up,Case,45,48,51,35,4,17,2,15,2
I Deserve It,Faith Evans F/ Missy Elliott & Sharaya J,54,52,50,16,4,15,2,14,2
Hearsay,Calvin Richardson,37,44,47,26,4,9,2,9,2
Hold Up Wait a Minute (Woo Woo),Antonique Smith,51,44,46,14,2,,,,
Love Come Down,Jagged Edge,,25,41,20,4,3,2,6,2
This Could Be Us,Prince,13,29,36,9,2,4,2,5,2
I Really Miss You,3 Winans Brothers,26,20,33,11,2,,,,
Every Moment,Jodeci,,11,33,18,2,,,12,2
Good Kisser,Usher,82,78,32,,,,,,
Losing Sleep,Boyz II Men,42,38,32,3,2,,,,
Amazing,Ricky Dillard & New G,15,21,28,10,2,,,,
Maybe I Should Call,K. Michelle,22,23,26,17,2,13,2,18,2
Set Me Free,Leela James,,,26,12,2,,,,
Touchin' Lovin',Trey Songz F/ Nicki Minaj,18,24,25,,,,,,
Lose Control,Ledisi,18,19,25,4,2,,,4,2
I Am,Jason Nelson,8,21,24,,,,,,
Call My Name,Morgan James,42,21,22,11,2,14,2,,
She Came to Give it to You,Usher F/ Nicki Minaj,17,12,21,7,2,,,,
Rolling in the Deep,Aretha Franklin,24,26,20,,,,,,
I Feel Good,Urban Mystic,41,21,20,,,,,,
La La La La La,Marsha Ambrosius,19,21,20,15,2,16,2,,
For Your Glory,Tasha Cobbs,,3,20,4,2,,,,
Strong as Glass,Goapele,32,33,17,,,,,,
She Knows,Ne-Yo F/ Juicy J,2,23,15,,,,,,
Doubt,Mary J. Blige,,,14,,,,,,
Religious,Ne-Yo,,27,13,,,5,2,3,2
You Got Me,Conya Doss,,,11,,,,,,
I Will Trust,Fred Hammond F/ BreeAnn Hammond,5,,10,,,,,,
7/11 .,Beyonce',10,10,9,6,2,,,,
Lips,Sisqo,36,13,8,,,,,,
Remember (Part 2),Keyshia Cole,4,6,8,6,2,6,2,7,2
No Greater Love,Smokie Norful,19,5,6,5,2,,,,
God My God,VaShawn Mitchell,,,4,3,2,,,,
It's Your World,Jennifer Hudson F/ R. Kelly,21,22,,,,,,,
Oh Jah Jah,Eddie Murphy,,19,,,,,,,
2 On,Tinashe F/ ScHoolboy Q,16,16,,,,,,,
Your Night,Con Funk Shun,34,12,,,,,,,
Don't Wanna Dance,Elle Varner F/ A$AP Ferg,34,10,,,,,,,
Ring Off,Beyonce',28,9,,,,,,,
Integrity,Ne-Yo F/ Charisse Mills,,4,,,,,,,
Let It Burn,Jazmine Sullivan,,3,,,,,,,
Don't Tell 'Em,Jeremih F/ YG,4,2,,,,,,,
