Song,Artist,31-Jan,7-Feb,14-Feb,21-Feb,,28-Feb,,7-Mar,
7/11 .,Beyoncé,195,197,205,95,10,45,5,45,5
Only,"Nicki Minaj F/ Drake, Lil Wayne & Chris Brown",196,194,194,86,7,28,2,32,2
I Don't F**k With You,Big Sean F/ E-40,193,188,188,78,6,24,2,26,2
I Don't Mind,Usher F/ Juicy J,160,178,184,87,8,36,3,37,3
The Body,Wale F/ Jeremih,157,172,177,80,7,34,3,31,2
She Knows,Ne-Yo F/ Juicy J,143,157,169,86,7,38,3,36,3
Apparently,J. Cole,142,154,166,81,7,42,4,43,4
Try Me,DeJ Loaf,188,177,164,72,5,31,2,29,2
How About Now,Drake,129,137,159,79,6,40,4,38,3
No Type,Rae Sremmurd,185,173,152,61,4,26,2,23,2
CoCo,O.T. Genasis,133,135,145,76,6,43,4,42,4
Let Me Know,Tamar Braxton F/ Future,142,147,141,49,4,16,2,12,2
Ayo,Chris Brown & Tyga,106,130,137,72,5,35,3,35,3
Truffle Butter,Nicki Minaj F/ Drake & Lil Wayne,96,119,136,71,5,37,3,40,4
Not for Long,B.o.B. F/ Trey Songz,148,140,135,54,4,21,2,22,2
Love 'Em All,K. Michelle,115,119,119,60,4,30,2,28,2
Touchin' Lovin',Trey Songz F/ Nicki Minaj,167,165,116,40,3,,,,
Throw Sum Mo,Rae Sremmurd F/ Nicki Minaj & Young Thug,81,101,115,59,4,41,4,41,4
Feeling Myself,Nicki Minaj F/ Beyonce',98,103,108,54,4,29,2,30,2
Good Lovin',Ludacris F/ Miguel,89,106,107,53,4,27,2,25,2
Tuesday,I LOVE MAKONNEN F/ Drake,167,151,101,20,2,20,2,16,2
Don't Kill the Fun,Sevyn Streeter F/ Chris Brown,46,88,100,49,4,32,2,34,3
Mind Right,TK-N-Cash,76,87,93,47,4,25,2,27,2
Hold You Down,"DJ Khaled F/ Chris Brown, August Alsina, Future, & Jeremih",140,95,87,34,2,,,,
New Flame,Chris Brown F/ Usher & Rick Ross,168,121,85,33,2,,,,
Right Back,"DJ Drama F/ Jeezy, Young Thug & Rich Homie Quan",69,84,82,43,4,23,2,18,2
Can't Trust Thots,Wash F/ French Montana,45,63,70,38,4,17,2,19,2
Earned It (Fifty Shades of Grey),The Weeknd,25,37,67,39,4,19,2,21,2
G' S**t,T.I. F/ Jeezy & WatchTheDuck,53,65,64,19,4,,,,
Preach,Young Dolph,34,42,64,38,4,18,2,20,2
Hell of a Night,ScHoolboy Q,102,92,59,8,2,,,,
Latch,Disclosure F/ Sam Smith,86,52,49,7,2,,,,
Uptown Funk!,Mark Ronson F/ Bruno Mars,,10,49,27,4,14,2,13,2
Only One,Kanye West F/ Paul McCartney,19,34,43,25,4,5,2,5,2
Trap Queen,Fetty Wap,6,17,41,37,4,22,2,24,2
I Bet,Ciara,,13,41,27,4,15,2,17,2
Collide,Justine Skye F/ Tyga,,11,40,13,2,8,2,8,2
Mamacita,Travi$ Scott F/ Young Thug & Rich Homie Quan,26,34,36,13,4,3,2,,
Call My Name,Avery * Sunshine,36,36,34,,,,,,
Awwsome,Shy Glizzy,77,58,33,,,,,,
Stay With Me,Sam Smith,34,31,33,,,,,,
Somebody Else,Rico Love,5,18,33,19,4,7,2,3,2
About the Money,T.I. F/ Young Thug,39,33,31,,,,,,
Backflip,Casey Veggies F/ YG & iAMSU!,10,23,30,18,3,9,2,9,2
Nobody,Kem,31,30,29,,,,,,
Like a Man,Boosie Badazz F/ Rich Homie Quan,49,41,25,21,3,12,2,15,2
Really Love,D'Angelo & the Vanguard,23,25,25,,,,,,
My Main,Mila J F/ Ty Dolla $ign,46,48,24,11,2,,,,
Hotel,Kid Ink F/ Chris Brown,,7,23,14,2,,,6,2
Goodnight Kisses,Charlie Wilson,6,17,21,,,,,,
Behind Closed Doors,Johhny Gill,21,20,20,,,,,,
If You Lose Her,Joe,16,19,19,,,,,,
U Guessed It,OG Maco F/ 2 Chainz,11,22,18,,,,,,
Spending the Night Alone,Adrian Marcel,20,26,17,,,,,,
I'm Not the Only One,Sam Smith,7,15,17,,,,,,
Ain't Goin' Nowhere,Frenchie F/ B.o.B. & Chanel West Coast,9,14,17,9,2,,,,
Forever Don't Last,Jazmine Sullivan,11,14,16,,,,,,
Bad B*tch,French Montana F/ Jeremih,3,8,16,6,1,,,,
Whole Damn Year,Mary J. Blige,31,28,15,6,2,4,2,,
Maybe,Teyana Taylor F/ Pusha T & Yo Gotti,78,17,15,,,,,,
Queen,Raheem DeVaughn,14,10,14,,,,,,
We Don't,Ace Hood F/ Rich Homie Quan,,2,14,11,2,,,,
Post to Be,Omarion F/ Chris Brown & Jhene Aiko,2,7,13,,,,,,
Body Language,Kid Ink F/ Usher & Tinashe,60,26,11,,,,,,
I Don't Get Tired (#IDGT),Kevin Gates F/ August Alsina,4,5,9,12,2,13,2,11,2
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,,4,9,10,2,6,2,7,2
It's Not My Fault,Anthony Lewis F/ T.I.,,2,8,,,,,,
Often,The Weeknd,5,8,7,,,,,,
Bring My Bottles,Young Buck F/ 50 Cent,,,7,,,,,,
Jealous,Nick Jonas,,,6,3,1,,,,
F*ck Up Some Commas,Future,,,5,,,,,,
Spotless Mind,Jhene Aiko,,,4,,,,,,
Blah Blah Blah,Rich Homie Quan,9,6,3,,,,,,
Blessings,Big Sean F/ Drake & Kanye West,,,3,2,1,10,2,14,2
Lil Bit,K Camp,,,2,,,,,4,2
No Love,August Alsina,106,54,,,,,,,
DnF,P.Reign F/ Drake & Future,27,10,,,,,,,
Recognize,PARTYNEXTDOOR F/ Drake,21,10,,,,,,,
Glory,Common & John Legend,8,9,,,,,,,
If They Knew,Rick Ross F/ K. Michelle,9,8,,,,,,,
Tattoo,Gillie Da Kid F/ Jeremih,10,7,,,,,,,
Beez Like,Jeezy F/ Boosie Badazz,,4,,,,,,,
Beg for It,Iggy Azalea F/ MO,6,3,,,,,,,
Slow Motion,Trey Songz,,,,,,11,2,10,2
